timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1759109441531,50790,Videos / Upload (multipart),Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,TG-Upload Escalonado(login → upload multipart) 1-2402,text,false,,3431,0,758,758,http://ec2-98-89-171-224.compute-1.amazonaws.com:8080/api/videos/upload,0,0,0
1759109222164,270209,Videos / Upload (multipart),Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,TG-Upload Escalonado(login → upload multipart) 1-991,text,false,,3431,0,757,757,http://ec2-98-89-171-224.compute-1.amazonaws.com:8080/api/videos/upload,0,0,0
1759109492161,226,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-2519,text,true,,939,302,756,756,http://ec2-98-89-171-224.compute-1.amazonaws.com:8080/api/auth/login,226,0,71
1759109471852,20535,Auth / Login,Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset,TG-Upload Escalonado(login → upload multipart) 1-2477,text,false,,2964,0,756,756,http://ec2-98-89-171-224.compute-1.amazonaws.com:8080/api/auth/login,0,0,6806
1759109325895,166514,Videos / Upload (multipart),Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,TG-Upload Escalonado(login → upload multipart) 1-1714,text,false,,3431,0,756,756,http://ec2-98-89-171-224.compute-1.amazonaws.com:8080/api/videos/upload,0,0,0
1759109330700,161709,Videos / Upload (multipart),Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,TG-Upload Escalonado(login → upload multipart) 1-1926,text,false,,3431,0,756,756,http://ec2-98-89-171-224.compute-1.amazonaws.com:8080/api/videos/upload,0,0,0
1759109302602,189835,Videos / Upload (multipart),Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,TG-Upload Escalonado(login → upload multipart) 1-1607,text,false,,3431,0,754,754,http://ec2-98-89-171-224.compute-1.amazonaws.com:8080/api/videos/upload,0,0,0
1759109432799,59638,Videos / Upload (multipart),Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,TG-Upload Escalonado(login → upload multipart) 1-2288,text,false,,3431,0,754,754,http://ec2-98-89-171-224.compute-1.amazonaws.com:8080/api/videos/upload,0,0,0
1759109315354,177252,Videos / Upload (multipart),Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,TG-Upload Escalonado(login → upload multipart) 1-1792,text,false,,3431,0,752,752,http://ec2-98-89-171-224.compute-1.amazonaws.com:8080/api/videos/upload,0,0,0
1759109492291,396,Auth / Login,200,OK,TG-Upload Escalonado(login → upload multipart) 1-2518,text,true,,939,302,751,751,http://ec2-98-89-171-224.compute-1.amazonaws.com:8080/api/auth/login,396,0,108
1759109264957,227731,Videos / Upload (multipart),Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,TG-Upload Escalonado(login → upload multipart) 1-1257,text,false,,3431,0,751,751,http://ec2-98-89-171-224.compute-1.amazonaws.com:8080/api/videos/upload,0,0,0
1759109206441,286246,Videos / Upload (multipart),Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,TG-Upload Escalonado(login → upload multipart) 1-844,text,false,,3431,0,751,751,http://ec2-98-89-171-224.compute-1.amazonaws.com:8080/api/videos/upload,0,0,0
1759109492165,702,Videos / Upload (multipart),Non HTTP response code: java.net.SocketException,Non HTTP response message: Software caused connection abort: socket write error,TG-Upload Escalonado(login → upload multipart) 1-2473,text,false,,3439,0,749,749,http://ec2-98-89-171-224.compute-1.amazonaws.com:8080/api/videos/upload,0,0,95
1759109266199,226668,Videos / Upload (multipart),Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,TG-Upload Escalonado(login → upload multipart) 1-1290,text,false,,3431,0,749,749,http://ec2-98-89-171-224.compute-1.amazonaws.com:8080/api/videos/upload,0,0,0
1759109492201,702,Videos / Upload (multipart),Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,TG-Upload Escalonado(login → upload multipart) 1-2476,text,false,,3431,0,747,747,http://ec2-98-89-171-224.compute-1.amazonaws.com:8080/api/videos/upload,0,0,87
1759109492199,704,Videos / Upload (multipart),Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,TG-Upload Escalonado(login → upload multipart) 1-2481,text,false,,3431,0,747,747,http://ec2-98-89-171-224.compute-1.amazonaws.com:8080/api/videos/upload,0,0,89
1759109277768,215178,Videos / Upload (multipart),Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,TG-Upload Escalonado(login → upload multipart) 1-1424,text,false,,3431,0,745,745,http://ec2-98-89-171-224.compute-1.amazonaws.com:8080/api/videos/upload,0,0,0
1759109357239,135761,Videos / Upload (multipart),Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,TG-Upload Escalonado(login → upload multipart) 1-2095,text,false,,3431,0,744,744,http://ec2-98-89-171-224.compute-1.amazonaws.com:8080/api/videos/upload,0,0,0
1759109314197,178871,Videos / Upload (multipart),Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,TG-Upload Escalonado(login → upload multipart) 1-1770,text,false,,3431,0,743,743,http://ec2-98-89-171-224.compute-1.amazonaws.com:8080/api/videos/upload,0,0,0
1759109325013,168056,Videos / Upload (multipart),Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,TG-Upload Escalonado(login → upload multipart) 1-1889,text,false,,3431,0,743,743,http://ec2-98-89-171-224.compute-1.amazonaws.com:8080/api/videos/upload,0,0,0
1759109314280,178789,Videos / Upload (multipart),Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,TG-Upload Escalonado(login → upload multipart) 1-1776,text,false,,3431,0,743,743,http://ec2-98-89-171-224.compute-1.amazonaws.com:8080/api/videos/upload,0,0,0
1759109431266,61803,Videos / Upload (multipart),Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,TG-Upload Escalonado(login → upload multipart) 1-2274,text,false,,3431,0,742,742,http://ec2-98-89-171-224.compute-1.amazonaws.com:8080/api/videos/upload,0,0,0
1759109294926,198144,Videos / Upload (multipart),Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,TG-Upload Escalonado(login → upload multipart) 1-1531,text,false,,3431,0,741,741,http://ec2-98-89-171-224.compute-1.amazonaws.com:8080/api/videos/upload,0,0,0
1759109467371,25699,Videos / Upload (multipart),Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,TG-Upload Escalonado(login → upload multipart) 1-2455,text,false,,3431,0,738,738,http://ec2-98-89-171-224.compute-1.amazonaws.com:8080/api/videos/upload,0,0,0
1759109229072,264091,Videos / Upload (multipart),Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,TG-Upload Escalonado(login → upload multipart) 1-1029,text,false,,3431,0,737,737,http://ec2-98-89-171-224.compute-1.amazonaws.com:8080/api/videos/upload,0,0,0
1759109297819,195344,Videos / Upload (multipart),Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,TG-Upload Escalonado(login → upload multipart) 1-1570,text,false,,3431,0,737,737,http://ec2-98-89-171-224.compute-1.amazonaws.com:8080/api/videos/upload,0,0,0
1759109381389,111830,Videos / Upload (multipart),Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,TG-Upload Escalonado(login → upload multipart) 1-2114,text,false,,3431,0,735,735,http://ec2-98-89-171-224.compute-1.amazonaws.com:8080/api/videos/upload,0,0,0
1759109380922,112297,Videos / Upload (multipart),Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,TG-Upload Escalonado(login → upload multipart) 1-2116,text,false,,3431,0,735,735,http://ec2-98-89-171-224.compute-1.amazonaws.com:8080/api/videos/upload,0,0,0
1759109269165,224054,Videos / Upload (multipart),Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,TG-Upload Escalonado(login → upload multipart) 1-1326,text,false,,3431,0,735,735,http://ec2-98-89-171-224.compute-1.amazonaws.com:8080/api/videos/upload,0,0,0
1759109147816,345412,Videos / Upload (multipart),Non HTTP response code: java.net.SocketException,Non HTTP response message: Software caused connection abort: socket write error,TG-Upload Escalonado(login → upload multipart) 1-518,text,false,,3439,0,732,732,http://ec2-98-89-171-224.compute-1.amazonaws.com:8080/api/videos/upload,0,0,0
1759109492405,897,Videos / Upload (multipart),Non HTTP response code: java.net.SocketException,Non HTTP response message: Connection reset by peer: socket write error,TG-Upload Escalonado(login → upload multipart) 1-2475,text,false,,3431,0,731,731,http://ec2-98-89-171-224.compute-1.amazonaws.com:8080/api/videos/upload,0,0,191
